Date/Time,Power Produced (W)
2019-04-05 12:50:00 +0530,880
2019-04-05 12:55:00 +0530,850
2019-04-05 13:00:00 +0530,838
2019-04-05 13:05:00 +0530,838
2019-04-05 13:10:00 +0530,838
2019-04-05 13:15:00 +0530,840
2019-04-05 13:20:00 +0530,840
2019-04-05 13:25:00 +0530,826
2019-04-05 13:30:00 +0530,820
2019-04-05 13:35:00 +0530,820
2019-04-05 13:40:00 +0530,777
2019-04-05 13:45:00 +0530,768
2019-04-05 13:50:00 +0530,768
2019-04-05 13:55:00 +0530,805
2019-04-05 14:00:00 +0530,811
2019-04-05 14:05:00 +0530,811
2019-04-05 14:10:00 +0530,405
2019-04-05 14:15:00 +0530,303
2019-04-05 14:20:00 +0530,303
2019-04-05 14:25:00 +0530,631
2019-04-05 14:30:00 +0530,718
2019-04-05 14:35:00 +0530,718
2019-04-05 14:40:00 +0530,707
2019-04-05 14:45:00 +0530,709
2019-04-05 14:50:00 +0530,709
2019-04-05 14:55:00 +0530,650
2019-04-05 15:00:00 +0530,634
2019-04-05 15:05:00 +0530,634
2019-04-05 15:10:00 +0530,509
2019-04-05 15:15:00 +0530,476
2019-04-05 15:20:00 +0530,476
2019-04-05 15:25:00 +0530,595
2019-04-05 15:30:00 +0530,631
2019-04-05 15:35:00 +0530,631
2019-04-05 15:40:00 +0530,548
2019-04-05 15:45:00 +0530,522
2019-04-05 15:50:00 +0530,522
2019-04-05 15:55:00 +0530,421
2019-04-05 16:00:00 +0530,389
2019-04-05 16:05:00 +0530,389
2019-04-05 16:10:00 +0530,439
2019-04-05 16:15:00 +0530,452
2019-04-05 16:20:00 +0530,452
2019-04-05 16:25:00 +0530,316
2019-04-05 16:30:00 +0530,270
2019-04-05 16:35:00 +0530,270
2019-04-05 16:40:00 +0530,193
2019-04-05 16:45:00 +0530,167
2019-04-05 16:50:00 +0530,167
2019-04-05 16:55:00 +0530,200
2019-04-05 17:00:00 +0530,210
2019-04-05 17:05:00 +0530,210
2019-04-05 17:10:00 +0530,170
2019-04-05 17:15:00 +0530,155
2019-04-05 17:20:00 +0530,155
2019-04-05 17:25:00 +0530,110
2019-04-05 17:30:00 +0530,93
2019-04-05 17:35:00 +0530,93
2019-04-05 17:40:00 +0530,61
2019-04-05 17:45:00 +0530,49
2019-04-05 17:50:00 +0530,49
2019-04-05 17:55:00 +0530,37
2019-04-05 18:00:00 +0530,32
2019-04-05 18:05:00 +0530,32
2019-04-05 18:10:00 +0530,18
2019-04-05 18:15:00 +0530,12
2019-04-05 18:20:00 +0530,12
2019-04-05 18:25:00 +0530,3
2019-04-05 18:30:00 +0530,0
2019-04-05 18:35:00 +0530,0
2019-04-05 18:40:00 +0530,0
2019-04-05 18:45:00 +0530,0
2019-04-05 18:50:00 +0530,0
2019-04-05 18:55:00 +0530,0
2019-04-05 19:00:00 +0530,0
2019-04-05 19:05:00 +0530,0
2019-04-05 19:10:00 +0530,0
2019-04-05 19:15:00 +0530,0
2019-04-05 19:20:00 +0530,0
2019-04-05 19:25:00 +0530,0
2019-04-05 19:30:00 +0530,0
